,firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,gender,carrier
25,name26,lastname26,DEC,5,1999,BS ME,0917 796 4622,Male,Globe
26,name27,lastname27,MAR,4,1997,BS CTM,0927 138 7580,Female,Globe
27,name28,lastname28,NOV,10,2000,BS LM,0917 195 9244,Male,Globe
28,name29,lastname29,OCT,10,1999,BS LM,0917 643 3996,Female,Globe
29,name30,lastname30,MAY,28,1999,BS CTM,0917 758 3119,Male,Globe
30,name31,lastname31,APR,6,1999,BS ITE,0918 669 4265,Male,Smart
31,name32,lastname32,JUL,16,1999,BS MGT,0917 750 8539,Female,Globe
32,name33,lastname33,DEC,17,1999,BS ITE,0927 236 9504,Male,Globe
33,name34,lastname34,OCT,4,1999,BS LM,0917 438 4447,Female,Globe
34,name35,lastname35,JUL,14,2001,BS ITE,0917 773 6035,Male,Globe
35,name36,lastname36,DEC,11,1998,BS MGT,0918 455 4185,Male,Smart
36,name37,lastname37,FEB,2,2000,BS MGT,0927 889 9252,Female,Globe
37,name38,lastname38,AUG,25,2001,BS LM,0927 874 8083,Female,Globe
38,name39,lastname39,MAY,3,1997,BS ME,0927 842 3053,Male,Globe
39,name40,lastname40,FEB,27,1998,BS LM,0927 923 1234,Male,Globe
40,name41,lastname41,NOV,16,1999,BS MGT,0918 381 4956,Male,Smart
41,name42,lastname42,SEP,24,1998,BS LM,0918 602 9278,Female,Smart
42,name43,lastname43,JAN,13,1999,BS MGT,0918 532 6748,Female,Smart
43,name44,lastname44,FEB,25,1998,BS ITE,0917 654 1291,Male,Globe
44,name45,lastname45,JAN,27,1997,BS ME,0918 244 1683,Female,Smart
45,name46,lastname46,DEC,24,1998,BS ME,0917 818 1190,Female,Globe
46,name47,lastname47,AUG,23,1999,BS MGT,0917 468 6425,Male,Globe
47,name48,lastname48,APR,13,1999,BS ITE,0918 635 1688,Female,Smart
48,name49,lastname49,OCT,11,1997,BS LM,0917 821 1896,Male,Globe
49,name50,lastname50,MAR,25,2001,BS LM,0927 924 9506,Male,Globe
50,name51,lastname51,AUG,22,1998,BS ITE,0918 854 2626,Female,Smart
51,name52,lastname52,MAR,21,1999,BS CTM,0918 438 9745,Female,Smart
52,name53,lastname53,DEC,15,2000,BS MGT,0917 893 8235,Male,Globe
53,name54,lastname54,JUL,10,1998,BS CTM,0918 216 5250,Female,Smart
54,name55,lastname55,MAY,8,1998,BS ME,0917 257 1057,Female,Globe
55,name56,lastname56,SEP,9,1998,BS ME,0927 949 5098,Male,Globe
56,name57,lastname57,MAY,9,2001,BS CTM,0927 766 6306,Female,Globe
57,name58,lastname58,APR,6,1997,BS ME,0918 851 8794,Female,Smart
58,name59,lastname59,APR,24,1998,BS ITE,0917 901 2860,Male,Globe
59,name60,lastname60,AUG,26,1999,BS ITE,0918 681 5912,Male,Smart
60,name61,lastname61,SEP,8,1998,BS CTM,0918 340 1320,Female,Smart
61,name62,lastname62,DEC,7,2000,BS ITE,0927 551 1326,Female,Globe
62,name63,lastname63,FEB,22,2000,BS ME,0918 975 4142,Male,Smart
63,name64,lastname64,NOV,13,1997,BS ITE,0917 466 1269,Female,Globe
64,name65,lastname65,MAR,23,1997,BS ME,0927 627 1302,Female,Globe
65,name66,lastname66,SEP,24,1997,BS LM,0917 553 5101,Female,Globe
66,name67,lastname67,DEC,9,1997,BS CTM,0917 442 5313,Male,Globe
67,name68,lastname68,NOV,4,2001,BS MGT,0927 715 7133,Male,Globe
68,name69,lastname69,NOV,19,1998,BS CTM,0917 448 4860,Male,Globe
69,name70,lastname70,MAY,12,1998,BS LM,0917 255 1167,Female,Globe
70,name71,lastname71,AUG,19,1999,BS CTM,0918 461 3486,Female,Smart
71,name72,lastname72,DEC,1,1999,BS MGT,0927 347 7129,Male,Globe
72,name73,lastname73,JUN,21,1998,BS ME,0918 404 6593,Male,Smart
73,name74,lastname74,OCT,25,1997,BS LM,0927 737 8051,Male,Globe
74,name75,lastname75,SEP,17,1998,BS ITE,0927 348 7430,Male,Globe
75,name76,lastname76,FEB,2,1997,BS CTM,0927 188 4940,Female,Globe
76,name77,lastname77,MAY,19,2000,BS CTM,0918 961 3285,Male,Smart
77,name78,lastname78,SEP,15,2000,BS MGT,0918 510 5817,Female,Smart
78,name79,lastname79,DEC,23,2000,BS LM,0927 668 6229,Male,Globe
79,name80,lastname80,AUG,10,1999,BS CTM,0927 229 9686,Female,Globe
80,name81,lastname81,FEB,1,1997,BS CTM,0918 873 6019,Male,Smart
81,name82,lastname82,NOV,22,1997,BS CTM,0918 376 7811,Male,Smart
82,name83,lastname83,JUN,18,2000,BS ME,0927 118 4679,Female,Globe
83,name84,lastname84,FEB,28,1999,BS ITE,0917 236 2591,Female,Globe
84,name85,lastname85,JAN,10,1999,BS LM,0927 128 1225,Female,Globe
85,name86,lastname86,NOV,21,1998,BS MGT,0918 587 6655,Male,Smart
86,name87,lastname87,AUG,15,1998,BS ITE,0918 945 8163,Female,Smart
87,name88,lastname88,JAN,26,1997,BS ME,0917 908 6005,Male,Globe
88,name89,lastname89,MAR,26,1998,BS ITE,0917 367 9784,Female,Globe
89,name90,lastname90,MAR,15,1999,BS ITE,0918 501 6913,Male,Smart
90,name91,lastname91,AUG,16,1997,BS ITE,0918 823 1926,Female,Smart
91,name92,lastname92,DEC,8,1997,BS ME,0917 449 1492,Male,Globe
92,name93,lastname93,JUN,14,1998,BS ITE,0927 196 1085,Female,Globe
93,name94,lastname94,NOV,24,1997,BS LM,0918 768 1582,Male,Smart
94,name95,lastname95,SEP,6,2001,BS CTM,0927 111 9326,Female,Globe
95,name96,lastname96,MAR,16,1999,BS CTM,0917 699 1883,Male,Globe
96,name97,lastname97,JAN,19,1997,BS MGT,0918 149 1873,Female,Smart
97,name98,lastname98,JAN,10,1998,BS ITE,0927 615 1107,Male,Globe
98,name99,lastname99,MAY,12,1998,BS CTM,0927 440 8773,Male,Globe
99,name100,lastname100,MAY,10,1999,BS MGT,0927 787 2993,Female,Globe
100,name101,lastname101,APR,2,1997,BS CTM,0927 952 3919,Female,Globe
101,name102,lastname102,AUG,14,2001,BS LM,0918 454 7163,Male,Smart
102,name103,lastname103,DEC,16,2000,BS ME,0927 148 8884,Male,Globe
103,name104,lastname104,JUL,16,2001,BS CTM,0918 852 3413,Female,Smart
104,name105,lastname105,MAR,5,1999,BS ITE,0917 502 7912,Male,Globe
105,name106,lastname106,AUG,25,1997,BS CTM,0927 510 1038,Female,Globe
106,name107,lastname107,APR,21,2001,BS MGT,0927 958 1514,Female,Globe
107,name108,lastname108,MAY,14,1999,BS MGT,0918 797 4867,Male,Smart
108,name109,lastname109,AUG,15,1998,BS ME,0917 615 3478,Female,Globe
109,name110,lastname110,JAN,8,1999,BS ME,0918 661 5521,Male,Smart
110,name111,lastname111,DEC,22,2001,BS ME,0918 401 1101,Female,Smart
111,name112,lastname112,MAY,19,1997,BS MGT,0918 469 9048,Female,Smart
112,name113,lastname113,MAY,27,1997,BS ITE,0917 389 5698,Female,Globe
113,name114,lastname114,AUG,22,1999,BS CTM,0917 946 6274,Female,Globe
114,name115,lastname115,MAR,26,1998,BS ITE,0917 236 8755,Male,Globe
115,name116,lastname116,JUL,19,1997,BS ITE,0918 269 1384,Female,Smart
116,name117,lastname117,JAN,11,1997,BS LM,0918 953 2016,Male,Smart
117,name118,lastname118,FEB,4,1999,BS ME,0918 752 1689,Female,Smart
118,name119,lastname119,DEC,27,1997,BS LM,0927 259 3515,Male,Globe
119,name120,lastname120,FEB,3,1997,BS LM,0918 732 2042,Female,Smart
120,name121,lastname121,MAR,5,2000,BS LM,0918 137 1929,Female,Smart
121,name122,lastname122,MAR,1,2001,BS LM,0917 898 5495,Female,Globe
122,name123,lastname123,APR,23,1999,BS LM,0918 479 2283,Female,Smart
123,name124,lastname124,FEB,2,1999,BS MGT,0917 428 8800,Male,Globe
124,name125,lastname125,NOV,24,1998,BS LM,0917 641 8280,Female,Globe
125,name126,lastname126,JUN,4,2000,BS LM,0927 272 9008,Male,Globe
126,name127,lastname127,MAR,3,2000,BS LM,0917 218 3720,Male,Globe
127,name128,lastname128,JUN,20,1998,BS LM,0918 872 3714,Female,Smart
128,name129,lastname129,OCT,25,1998,BS ME,0927 399 5328,Male,Globe
129,name130,lastname130,JUL,18,2000,BS MGT,0927 384 8421,Female,Globe
130,name131,lastname131,FEB,23,1999,BS CTM,0927 278 9317,Female,Globe
131,name132,lastname132,SEP,10,1999,BS LM,0927 450 3540,Male,Globe
132,name133,lastname133,APR,18,1999,BS CTM,0927 150 7228,Female,Globe
133,name134,lastname134,MAY,7,2000,BS MGT,0918 995 5243,Female,Smart
134,name135,lastname135,OCT,3,1999,BS CTM,0927 949 9628,Female,Globe
135,name136,lastname136,OCT,5,2000,BS MGT,0927 558 1218,Male,Globe
136,name137,lastname137,JUN,5,1998,BS ME,0918 191 7948,Female,Smart
137,name138,lastname138,FEB,5,1997,BS ITE,0918 636 6121,Male,Smart
138,name139,lastname139,APR,8,1999,BS ITE,0918 532 3276,Male,Smart
139,name140,lastname140,SEP,2,1999,BS ME,0927 795 1469,Male,Globe
140,name141,lastname141,JUN,8,1998,BS LM,0927 430 8948,Male,Globe
141,name142,lastname142,DEC,3,1999,BS LM,0918 659 4663,Female,Smart
142,name143,lastname143,NOV,15,1999,BS ME,0927 716 8308,Female,Globe
143,name144,lastname144,OCT,14,1998,BS ME,0917 855 4111,Male,Globe
144,name145,lastname145,FEB,9,2001,BS MGT,0918 256 2335,Male,Smart
145,name146,lastname146,SEP,11,1998,BS MGT,0927 248 8520,Male,Globe
146,name147,lastname147,DEC,6,1999,BS LM,0917 856 9506,Male,Globe
147,name148,lastname148,NOV,13,2000,BS LM,0927 989 2750,Female,Globe
148,name149,lastname149,SEP,18,1997,BS MGT,0927 124 4294,Male,Globe
149,name150,lastname150,AUG,5,1997,BS ME,0918 162 5544,Female,Smart
150,name151,lastname151,MAY,17,1998,BS LM,0918 469 2092,Female,Smart
151,name152,lastname152,MAR,15,1999,BS LM,0927 145 1261,Female,Globe
152,name153,lastname153,NOV,2,1999,BS ME,0927 415 2246,Male,Globe
153,name154,lastname154,AUG,2,1999,BS MGT,0918 331 9863,Female,Smart
154,name155,lastname155,DEC,14,1999,BS LM,0918 649 2584,Female,Smart
155,name156,lastname156,APR,3,1998,BS MGT,0918 146 7027,Female,Smart
156,name157,lastname157,AUG,13,1997,BS ME,0927 475 9634,Male,Globe
157,name158,lastname158,JAN,28,1999,BS LM,0927 594 6138,Female,Globe
158,name159,lastname159,OCT,12,1998,BS MGT,0927 653 5975,Female,Globe
159,name160,lastname160,DEC,25,2000,BS CTM,0917 137 6557,Female,Globe
160,name161,lastname161,JAN,1,2000,BS CTM,0917 289 3619,Male,Globe
161,name162,lastname162,JAN,26,2000,BS CTM,0917 388 6944,Male,Globe
162,name163,lastname163,APR,17,1999,BS ITE,0917 307 3272,Female,Globe
163,name164,lastname164,MAY,25,1997,BS ITE,0917 925 9571,Male,Globe
164,name165,lastname165,AUG,12,1998,BS MGT,0918 281 2519,Male,Smart
165,name166,lastname166,FEB,16,1999,BS ME,0918 536 9523,Female,Smart
166,name167,lastname167,APR,4,2000,BS MGT,0918 705 3266,Female,Smart
167,name168,lastname168,JUL,5,1997,BS ME,0927 511 1039,Female,Globe
168,name169,lastname169,APR,13,1998,BS ME,0918 284 3059,Female,Smart
169,name170,lastname170,JUN,9,2000,BS ITE,0927 797 7430,Female,Globe
170,name171,lastname171,AUG,17,1997,BS LM,0918 227 4954,Female,Smart
171,name172,lastname172,SEP,24,2000,BS CTM,0917 308 1448,Female,Globe
172,name173,lastname173,AUG,13,1998,BS ME,0917 180 6600,Female,Globe
173,name174,lastname174,OCT,19,1998,BS ME,0927 185 5392,Male,Globe
174,name175,lastname175,JUN,1,1999,BS ME,0917 492 1000,Female,Globe
175,name176,lastname176,JUN,9,1999,BS ITE,0927 787 2528,Female,Globe
176,name177,lastname177,JUL,1,2001,BS ME,0927 614 7614,Male,Globe
177,name178,lastname178,JUN,12,2001,BS ITE,0917 735 9355,Female,Globe
178,name179,lastname179,MAY,4,1998,BS LM,0927 728 7081,Male,Globe
179,name180,lastname180,MAR,22,1999,BS ITE,0917 257 4982,Male,Globe
180,name181,lastname181,MAR,27,1999,BS ME,0917 744 6240,Female,Globe
181,name182,lastname182,JUN,2,1998,BS CTM,0917 502 7471,Male,Globe
182,name183,lastname183,JUN,17,1997,BS MGT,0918 582 2278,Female,Smart
183,name184,lastname184,DEC,23,1998,BS ITE,0927 891 4782,Female,Globe
184,name185,lastname185,APR,18,1997,BS ME,0917 248 5615,Male,Globe
185,name186,lastname186,NOV,19,1997,BS ME,0918 859 3958,Female,Smart
186,name187,lastname187,APR,18,2001,BS LM,0917 575 5267,Male,Globe
187,name188,lastname188,SEP,2,1997,BS ME,0918 621 4437,Male,Smart
188,name189,lastname189,DEC,7,2000,BS MGT,0918 447 8973,Female,Smart
189,name190,lastname190,JUL,6,1997,BS MGT,0918 409 2087,Male,Smart
190,name191,lastname191,MAY,7,1999,BS LM,0918 742 1522,Male,Smart
191,name192,lastname192,JUL,9,1999,BS ITE,0917 222 5936,Male,Globe
192,name193,lastname193,MAY,25,1997,BS ME,0918 730 6896,Female,Smart
193,name194,lastname194,SEP,2,1998,BS LM,0917 399 8033,Male,Globe
194,name195,lastname195,JUL,15,2001,BS ME,0917 818 9641,Female,Globe
195,name196,lastname196,MAY,6,2001,BS ME,0927 486 8768,Male,Globe
196,name197,lastname197,OCT,24,2001,BS ME,0918 708 8549,Female,Smart
197,name198,lastname198,JUN,15,1997,BS LM,0927 642 6498,Female,Globe
198,name199,lastname199,JAN,4,1999,BS CTM,0927 536 3811,Female,Globe
199,name200,lastname200,NOV,13,1998,BS MGT,0918 621 7426,Female,Smart
200,name201,lastname201,OCT,27,1997,BS MGT,0917 681 9326,Female,Globe
201,name202,lastname202,APR,15,2000,BS MGT,0918 341 5085,Female,Smart
202,name203,lastname203,MAR,25,1998,BS ME,0918 419 5644,Female,Smart
203,name204,lastname204,NOV,4,1997,BS ITE,0927 383 5918,Male,Globe
204,name205,lastname205,MAR,12,2000,BS MGT,0917 173 4981,Female,Globe
205,name206,lastname206,DEC,19,1997,BS ME,0917 309 4697,Female,Globe
206,name207,lastname207,NOV,27,2000,BS ITE,0918 744 5680,Male,Smart
207,name208,lastname208,OCT,20,1999,BS CTM,0918 314 3702,Male,Smart
208,name209,lastname209,MAR,16,1999,BS CTM,0917 764 8372,Female,Globe
209,name210,lastname210,APR,2,1998,BS ITE,0927 750 7712,Female,Globe
210,name211,lastname211,JAN,26,1999,BS MGT,0927 744 7095,Female,Globe
211,name212,lastname212,NOV,2,1999,BS MGT,0917 600 5892,Male,Globe
212,name213,lastname213,AUG,23,1999,BS MGT,0918 482 4436,Female,Smart
213,name214,lastname214,JUN,8,1999,BS CTM,0917 229 1656,Female,Globe
214,name215,lastname215,NOV,1,1998,BS CTM,0917 129 7511,Female,Globe
215,name216,lastname216,OCT,23,1999,BS LM,0927 931 6222,Female,Globe
216,name217,lastname217,MAY,2,1998,BS ME,0917 510 8517,Male,Globe
217,name218,lastname218,APR,19,2001,BS CTM,0927 859 9615,Female,Globe
218,name219,lastname219,MAY,28,1997,BS ITE,0918 883 3812,Female,Smart
219,name220,lastname220,MAR,25,2001,BS MGT,0927 855 3696,Female,Globe
220,name221,lastname221,JUL,12,2001,BS ME,0917 869 1592,Male,Globe
221,name222,lastname222,SEP,5,1999,BS LM,0927 390 2398,Male,Globe
222,name223,lastname223,FEB,9,1997,BS MGT,0918 250 3159,Male,Smart
223,name224,lastname224,DEC,18,2001,BS MGT,0917 914 1992,Female,Globe
224,name225,lastname225,FEB,27,1998,BS ME,0917 168 1549,Male,Globe
225,name226,lastname226,MAR,12,1997,BS LM,0918 812 9824,Female,Smart
226,name227,lastname227,OCT,8,1997,BS MGT,0918 676 3675,Female,Smart
227,name228,lastname228,NOV,16,1999,BS MGT,0927 616 9286,Female,Globe
228,name229,lastname229,JUN,11,1999,BS LM,0927 975 8823,Male,Globe
229,name230,lastname230,DEC,4,1997,BS CTM,0917 559 2469,Female,Globe
230,name231,lastname231,MAY,22,1998,BS ITE,0927 597 2823,Male,Globe
231,name232,lastname232,APR,17,2000,BS MGT,0917 418 9979,Male,Globe
232,name233,lastname233,JUN,13,2001,BS ME,0927 523 4422,Male,Globe
233,name234,lastname234,FEB,6,1997,BS CTM,0917 911 6706,Male,Globe
234,name235,lastname235,JUL,7,1999,BS MGT,0918 656 9527,Male,Smart
235,name236,lastname236,OCT,23,1998,BS MGT,0917 251 3024,Male,Globe
236,name237,lastname237,DEC,14,1998,BS LM,0927 940 8616,Male,Globe
237,name238,lastname238,MAR,4,2000,BS CTM,0917 261 3868,Male,Globe
238,name239,lastname239,FEB,5,1997,BS LM,0927 976 2990,Male,Globe
239,name240,lastname240,APR,21,2001,BS LM,0917 962 2388,Male,Globe
240,name241,lastname241,SEP,7,2000,BS CTM,0917 560 3594,Female,Globe
241,name242,lastname242,JUN,1,1998,BS ITE,0917 267 6749,Female,Globe
242,name243,lastname243,NOV,19,1998,BS CTM,0918 388 9243,Male,Smart
243,name244,lastname244,JAN,1,2000,BS CTM,0918 418 8388,Male,Smart
244,name245,lastname245,MAR,5,1999,BS ME,0918 387 4071,Female,Smart
245,name246,lastname246,JAN,26,1998,BS CTM,0918 871 2841,Female,Smart
246,name247,lastname247,AUG,3,1998,BS MGT,0917 242 3611,Female,Globe
247,name248,lastname248,MAR,22,1998,BS LM,0917 213 2389,Male,Globe
248,name249,lastname249,DEC,9,2000,BS ME,0917 548 3044,Male,Globe
249,name250,lastname250,MAY,24,2001,BS ME,0927 264 6574,Female,Globe
250,name251,lastname251,JAN,9,2000,BS CTM,0917 582 8763,Female,Globe
251,name252,lastname252,DEC,6,2001,BS MGT,0927 800 6849,Male,Globe
252,name253,lastname253,APR,18,1997,BS ME,0918 414 2565,Female,Smart
253,name254,lastname254,AUG,3,1997,BS CTM,0917 984 6143,Female,Globe
254,name255,lastname255,JAN,6,2001,BS ME,0927 234 8693,Male,Globe
255,name256,lastname256,DEC,7,1997,BS MGT,0918 944 9432,Male,Smart
256,name257,lastname257,APR,19,1997,BS ITE,0917 996 8937,Female,Globe
257,name258,lastname258,JUN,7,2001,BS ITE,0917 169 7326,Female,Globe
258,name259,lastname259,MAR,20,1999,BS ITE,0927 916 1852,Male,Globe
259,name260,lastname260,NOV,15,2000,BS CTM,0917 843 5692,Male,Globe
260,name261,lastname261,JUN,4,1997,BS LM,0918 456 7658,Male,Smart
261,name262,lastname262,JUL,26,1998,BS CTM,0917 771 4152,Female,Globe
262,name263,lastname263,JAN,1,2000,BS MGT,0917 773 4858,Male,Globe
263,name264,lastname264,NOV,1,2001,BS ITE,0918 108 6505,Male,Smart
264,name265,lastname265,NOV,26,2001,BS MGT,0918 332 9306,Female,Smart
265,name266,lastname266,DEC,5,1997,BS MGT,0917 551 8922,Female,Globe
266,name267,lastname267,JUL,5,1999,BS LM,0917 537 9153,Male,Globe
267,name268,lastname268,OCT,21,1999,BS ME,0927 373 9092,Female,Globe
268,name269,lastname269,OCT,18,2001,BS LM,0918 441 7553,Female,Smart
269,name270,lastname270,APR,24,1998,BS ITE,0927 395 8754,Female,Globe
270,name271,lastname271,MAR,25,1997,BS ME,0918 351 3825,Female,Smart
271,name272,lastname272,JUL,27,1997,BS ITE,0917 275 1598,Female,Globe
272,name273,lastname273,AUG,7,1999,BS CTM,0927 511 6858,Female,Globe
273,name274,lastname274,JAN,5,1997,BS MGT,0917 580 5437,Female,Globe
274,name275,lastname275,APR,20,1998,BS CTM,0917 418 9759,Male,Globe
275,name276,lastname276,JAN,12,2001,BS ITE,0917 559 3566,Female,Globe
276,name277,lastname277,DEC,24,1999,BS LM,0927 416 3898,Female,Globe
277,name278,lastname278,FEB,8,1997,BS MGT,0917 735 6446,Female,Globe
278,name279,lastname279,OCT,12,1998,BS LM,0927 359 4345,Female,Globe
279,name280,lastname280,NOV,15,2000,BS MGT,0918 183 9884,Female,Smart
280,name281,lastname281,FEB,12,1997,BS MGT,0918 541 2404,Male,Smart
281,name282,lastname282,MAR,23,1998,BS MGT,0918 393 1948,Male,Smart
282,name283,lastname283,NOV,3,1997,BS ITE,0918 927 3119,Female,Smart
283,name284,lastname284,AUG,13,1999,BS CTM,0927 868 4707,Male,Globe
284,name285,lastname285,SEP,17,1998,BS CTM,0927 419 8095,Male,Globe
285,name286,lastname286,DEC,28,1999,BS ITE,0927 907 8179,Male,Globe
286,name287,lastname287,FEB,18,1998,BS CTM,0917 992 5274,Male,Globe
287,name288,lastname288,APR,4,2001,BS ITE,0917 527 6893,Female,Globe
288,name289,lastname289,OCT,15,1997,BS ME,0917 756 9357,Male,Globe
289,name290,lastname290,JUL,8,1997,BS ME,0918 927 4291,Female,Smart
290,name291,lastname291,DEC,27,2000,BS MGT,0918 974 1369,Female,Smart
291,name292,lastname292,JAN,25,1999,BS CTM,0917 878 8313,Female,Globe
292,name293,lastname293,MAR,1,1999,BS ME,0927 608 4808,Male,Globe
293,name294,lastname294,JAN,14,1998,BS LM,0918 983 8521,Male,Smart
294,name295,lastname295,NOV,19,1999,BS ITE,0918 345 5057,Male,Smart
295,name296,lastname296,APR,26,1999,BS MGT,0927 416 2499,Male,Globe
296,name297,lastname297,NOV,10,2000,BS LM,0917 620 1837,Female,Globe
297,name298,lastname298,JAN,8,1999,BS MGT,0927 291 3676,Female,Globe
298,name299,lastname299,FEB,18,1998,BS MGT,0927 348 6668,Male,Globe
299,name300,lastname300,MAY,22,1997,BS CTM,0918 815 5153,Male,Smart
300,name301,lastname301,APR,27,1999,BS LM,0927 285 5378,Female,Globe
301,name302,lastname302,MAY,1,2001,BS LM,0918 511 3241,Female,Smart
302,name303,lastname303,DEC,18,1997,BS LM,0917 739 1115,Male,Globe
303,name304,lastname304,SEP,18,2000,BS CTM,0918 533 7507,Male,Smart
304,name305,lastname305,JAN,15,1997,BS MGT,0917 641 8911,Male,Globe
305,name306,lastname306,MAR,3,1998,BS LM,0917 155 3009,Female,Globe
306,name307,lastname307,FEB,12,2000,BS ITE,0918 386 6738,Male,Smart
307,name308,lastname308,DEC,13,1998,BS CTM,0927 827 6122,Male,Globe
308,name309,lastname309,NOV,8,1998,BS MGT,0917 132 5014,Male,Globe
309,name310,lastname310,AUG,21,1998,BS ITE,0918 225 1879,Male,Smart
310,name311,lastname311,JUN,23,1998,BS ME,0918 704 4147,Male,Smart
311,name312,lastname312,MAY,16,1999,BS ME,0918 284 8832,Female,Smart
312,name313,lastname313,AUG,8,1997,BS ITE,0917 379 9404,Female,Globe
313,name314,lastname314,JUL,19,1998,BS MGT,0918 131 5008,Male,Smart
314,name315,lastname315,DEC,19,1998,BS LM,0917 656 2606,Female,Globe
315,name316,lastname316,APR,14,2001,BS CTM,0927 212 2224,Male,Globe
316,name317,lastname317,SEP,16,1997,BS ME,0918 458 4727,Male,Smart
317,name318,lastname318,MAR,5,1999,BS CTM,0917 462 5719,Male,Globe
318,name319,lastname319,AUG,10,2000,BS ME,0927 239 1604,Male,Globe
319,name320,lastname320,JUL,21,1997,BS MGT,0917 854 8646,Male,Globe
320,name321,lastname321,AUG,26,1997,BS CTM,0927 414 7766,Female,Globe
321,name322,lastname322,JUN,14,1999,BS LM,0918 600 7855,Female,Smart
322,name323,lastname323,JUN,8,1998,BS MGT,0917 308 8490,Male,Globe
323,name324,lastname324,JUL,21,1998,BS ME,0918 788 7131,Male,Smart
324,name325,lastname325,MAR,24,1998,BS ME,0917 557 5935,Female,Globe
325,name326,lastname326,FEB,24,2000,BS CTM,0918 561 3677,Female,Smart
326,name327,lastname327,JUL,16,1997,BS ITE,0917 604 7756,Male,Globe
327,name328,lastname328,JUN,1,1999,BS ITE,0917 992 5461,Female,Globe
328,name329,lastname329,DEC,5,1997,BS ITE,0918 451 8833,Female,Smart
329,name330,lastname330,JUL,3,1998,BS ITE,0918 158 9284,Male,Smart
330,name331,lastname331,JAN,26,1998,BS MGT,0927 146 5990,Female,Globe
331,name332,lastname332,APR,18,1999,BS LM,0918 299 4084,Female,Smart
332,name333,lastname333,JUN,17,2000,BS CTM,0927 779 3123,Male,Globe
333,name334,lastname334,JAN,2,1998,BS LM,0927 182 1332,Male,Globe
334,name335,lastname335,MAY,21,1999,BS CTM,0918 169 5036,Female,Smart
335,name336,lastname336,APR,11,1999,BS ITE,0918 152 3167,Male,Smart
336,name337,lastname337,DEC,8,1998,BS MGT,0927 503 8110,Male,Globe
337,name338,lastname338,SEP,20,2001,BS CTM,0927 746 2862,Male,Globe
338,name339,lastname339,APR,22,2000,BS ITE,0918 233 2323,Female,Smart
339,name340,lastname340,JUN,4,1999,BS LM,0917 685 3086,Female,Globe
340,name341,lastname341,AUG,22,1999,BS MGT,0917 949 6688,Female,Globe
341,name342,lastname342,JUL,2,1999,BS MGT,0917 306 7389,Male,Globe
342,name343,lastname343,DEC,18,1998,BS LM,0917 431 1238,Male,Globe
343,name344,lastname344,JUL,13,2000,BS ITE,0918 185 7288,Male,Smart
344,name345,lastname345,APR,19,1999,BS ITE,0918 269 8208,Male,Smart
345,name346,lastname346,JUL,19,2000,BS ITE,0917 816 8886,Female,Globe
346,name347,lastname347,MAR,21,1998,BS ITE,0918 386 4602,Male,Smart
347,name348,lastname348,JAN,13,1997,BS ITE,0917 728 4754,Female,Globe
348,name349,lastname349,FEB,18,1999,BS ME,0918 636 8281,Female,Smart
349,name350,lastname350,SEP,17,1997,BS ME,0917 301 6396,Male,Globe
350,name351,lastname351,DEC,21,1997,BS LM,0917 683 8576,Female,Globe
351,name352,lastname352,FEB,28,1997,BS MGT,0917 897 3550,Male,Globe
